               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.019503,            0.011601,                   0,             0.88631,             0.87434,             0.89612,             0.50002,            0.021819,            0.015111,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.021525,            0.013683,                   0,             0.88763,             0.88589,             0.89565,             0.49557,            0.021676,            0.015014,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.020876,            0.012185,                   0,             0.88499,             0.88224,             0.88779,              0.4986,            0.021839,            0.015249,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.020221,            0.012551,                   0,              0.8873,             0.87477,             0.88834,             0.49515,            0.021784,            0.015229,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.019916,            0.011799,                   0,             0.89259,             0.87477,              0.8872,             0.49321,             0.02198,            0.015345,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.020371,            0.012798,                   0,              0.8775,             0.86542,             0.88015,             0.49073,            0.021666,            0.015227,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.020123,            0.012719,                   0,             0.88753,             0.87664,             0.89277,             0.49776,            0.021394,            0.015122,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.019733,            0.011841,                   0,             0.89977,              0.8729,             0.88867,             0.49966,            0.021509,            0.015111,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.021244,            0.013061,                   0,              0.8964,             0.86916,             0.88594,             0.50056,            0.021575,            0.015039,                   0,             0.00109,             0.00109,             0.00109
                  92,             0.01949,            0.011952,                   0,             0.88598,             0.86542,              0.8733,             0.49186,            0.021486,            0.015042,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.020203,            0.012178,                   0,              0.8947,              0.8785,             0.89337,             0.49867,            0.021502,            0.015096,                   0,            0.000892,            0.000892,            0.000892
                  94,             0.02021,            0.012294,                   0,             0.88248,             0.86729,             0.88229,             0.49496,            0.021579,            0.015105,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.02011,            0.013204,                   0,             0.88907,             0.86168,             0.87585,             0.49529,            0.021571,            0.015098,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.020514,            0.012692,                   0,             0.89301,             0.86916,             0.88707,             0.49766,            0.021544,            0.015128,                   0,            0.000595,            0.000595,            0.000595
                  97,             0.01892,            0.011414,                   0,             0.88172,             0.86355,             0.87353,             0.49634,            0.021551,            0.015107,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.020254,            0.013038,                   0,              0.8973,             0.86552,               0.883,             0.49959,            0.021426,            0.015101,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.019076,            0.011719,                   0,              0.8918,             0.86275,             0.87973,             0.49619,             0.02142,            0.015106,                   0,            0.000298,            0.000298,            0.000298
